timestamp_utc,model_name,model_id,dp_id,repeat_index,prompt_tokens,completion_tokens,cost_usd,cumulative_usd,cached
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-BOT-C,0,579,32,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-BOT-C,1,579,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-BOT-C,2,579,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-GAS-C,0,579,36,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-GAS-C,1,579,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-GAS-C,2,579,8,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-MAG-C,0,579,34,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-MAG-C,1,579,34,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-MAG-C,2,579,36,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-OCO-C,0,579,34,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-OCO-C,1,579,36,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L010-OCO-C,2,579,36,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-GAS-C,0,580,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-GAS-C,1,580,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-GAS-C,2,580,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-OCO-C,0,581,8,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-OCO-C,1,581,34,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-OCO-C,2,581,33,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-RIC-C,0,580,34,0.000000,0.000000,False
2026-06-11T09:52:16+00:00,claude-fable-5,mock/claude-fable-5,2024-bahrain-L011-RIC-C,1,580,36,0.000000,0.000000,False
